"""Orient Cement-EQ"","
"""Control Print-EQ"","
"""Dharmaj Crop-EQ"","
"""Jay Bharat Maru.-EQ"","
"""Vaibhav Global-EQ"","
"""Kross Ltd-EQ"","
"""Diffusion Eng-EQ"","
"""Lodha Developers-EQ"","
"""Zuari Agro Chem.-EQ"","
"""Vishnu Chemicals-EQ"","
"""Innovana Think.-EQ"","
"""Knowledge Marine-EQ"","
"""Aurionpro Sol.-EQ"","
"""Lincoln Pharma.-EQ"","
"""Novartis India-EQ"","
"""Man Industries-EQ"","
"""Krishival Foods-EQ"","
"""Zen Technologies-EQ"","
"""Indiabulls-EQ"","
"""Vilas Transcore-EQ"","
"""Technocraf.Inds.-EQ"","
"""Lloyds Engineeri-EQ"","
"""Vedanta-EQ"","
"""A B Infrabuild-EQ"","
"""Foce India-EQ"","
"""KRN Heat Exchan-EQ"","
"""Iris Clothings-EQ"","
"""Intellect Design-EQ"","
"""Finolex Cables-EQ"","
"""Sheetal Cool-EQ"","
"""HMA Agro Inds.-EQ"","
"""Steel Str. Wheel-EQ"","
"""Suprajit Engg.-EQ"","
"""Bombay Super Hyb-EQ"","
"""Cochin Shipyard-EQ"","
"""Techno Elec.Engg-EQ"","
"""Windlas Biotech-EQ"","
"""Ravindra Energy-EQ"","
"""Krystal Integrat-EQ"","
"""Latent View-EQ"","
"""Surya Roshni-EQ"","
"""Kamat Hotels-EQ"","
"""CCL Products-EQ"","
"""Hariom Pipe-EQ"","
"""Insecticid.India-EQ"","
"""Muthoot Finance-EQ"","
"""GE Shipping Co-EQ"","
"""Platinum Industr-EQ"","
"""MRF-EQ"","
"""A C J K Exports-EQ"","
"""eMudhra-EQ"","
"""Powerica Ltd-EQ"","
"""Sanghvi Movers-EQ"","
"""Manoj Vaibhav-EQ"","
"""Taneja Aerospace-EQ"","
"""Gala Precis. Eng-EQ"","
